method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
Mean/Mode,MAR,0.1,42,60,0.011817678405483995,0.9248168498168498,0.9285714285714285,60,0
Mean/Mode,MAR,0.1,43,60,0.014312258235954611,0.9336080586080587,0.9395604395604396,60,0
Mean/Mode,MAR,0.1,44,60,0.02109831901409817,0.9206043956043958,0.9230769230769231,60,0
Mean/Mode,MAR,0.1,45,60,0.01739477512196012,0.9212454212454213,0.9230769230769231,60,0
Mean/Mode,MAR,0.1,46,60,0.010776672188847362,0.9352564102564102,0.9395604395604396,60,0
Mean/Mode,MAR,0.1,47,60,0.019871564343208737,0.9201465201465201,0.9203296703296704,60,0
Mean/Mode,MAR,0.1,48,60,0.012237298362249458,0.9498168498168499,0.9560439560439561,60,0
Mean/Mode,MAR,0.1,49,60,0.014894588825053701,0.9298534798534798,0.9395604395604396,60,0
Mean/Mode,MAR,0.2,42,60,0.02954308787402939,0.8451465201465201,0.8516483516483516,60,0
Mean/Mode,MAR,0.2,43,60,0.03028732762907499,0.8037545787545787,0.8021978021978022,60,0
Mean/Mode,MAR,0.2,44,60,0.026232858759933645,0.8458791208791209,0.8489010989010989,60,0
Mean/Mode,MAR,0.2,45,60,0.026187085620556442,0.8440476190476189,0.8406593406593407,60,0
Mean/Mode,MAR,0.2,46,60,0.02164900771309826,0.8984432234432235,0.8956043956043955,60,0
Mean/Mode,MAR,0.2,47,60,0.023801770459511255,0.8524725274725273,0.8598901098901098,60,0
Mean/Mode,MAR,0.2,48,60,0.02072409243331925,0.9153846153846154,0.9175824175824175,60,0
Mean/Mode,MAR,0.2,49,60,0.030699687181214377,0.8409340659340658,0.8461538461538461,60,0
Mean/Mode,MAR,0.3,42,60,0.029278380581705704,0.8412087912087911,0.8351648351648352,60,0
Mean/Mode,MAR,0.3,43,60,0.030824192760769836,0.832967032967033,0.8379120879120879,60,0
Mean/Mode,MAR,0.3,44,60,0.02845796502254308,0.8343406593406594,0.8324175824175825,60,0
Mean/Mode,MAR,0.3,45,60,0.033621763710817376,0.8074175824175822,0.8104395604395604,60,0
Mean/Mode,MAR,0.3,46,60,0.02757339132511681,0.861080586080586,0.8736263736263737,60,0
Mean/Mode,MAR,0.3,47,60,0.032882255809908105,0.8274725274725275,0.8241758241758241,60,0
Mean/Mode,MAR,0.3,48,60,0.03571530575139254,0.819047619047619,0.8241758241758241,60,0
Mean/Mode,MAR,0.3,49,60,0.03156864040311279,0.8053113553113553,0.8076923076923077,60,0
Mean/Mode,MCAR,0.1,42,60,0.021983909874040197,0.9315934065934067,0.9340659340659341,60,0
Mean/Mode,MCAR,0.1,43,60,0.011194680590877668,0.9574175824175825,0.9615384615384615,60,0
Mean/Mode,MCAR,0.1,44,60,0.011419834018794142,0.9204212454212455,0.9285714285714285,60,0
Mean/Mode,MCAR,0.1,45,60,0.013242579512111965,0.9554029304029305,0.9615384615384615,60,0
Mean/Mode,MCAR,0.1,46,60,0.01626160778544495,0.9608974358974359,0.9615384615384615,60,0
Mean/Mode,MCAR,0.1,47,60,0.01267065678951675,0.9640109890109889,0.9725274725274725,60,0
Mean/Mode,MCAR,0.1,48,60,0.011997403133563053,0.924908424908425,0.9285714285714285,60,0
Mean/Mode,MCAR,0.1,49,60,0.012715485037373138,0.9016483516483516,0.9120879120879121,60,0
Mean/Mode,MCAR,0.2,42,60,0.040908592405321194,0.8212454212454212,0.8269230769230769,60,0
Mean/Mode,MCAR,0.2,43,60,0.018001820352547205,0.9008241758241758,0.9038461538461539,60,0
Mean/Mode,MCAR,0.2,44,60,0.01845754451116908,0.9461538461538461,0.9560439560439561,60,0
Mean/Mode,MCAR,0.2,45,60,0.021381438036271037,0.9450549450549451,0.9505494505494506,60,0
Mean/Mode,MCAR,0.2,46,60,0.0299186895106017,0.891941391941392,0.8956043956043955,60,0
Mean/Mode,MCAR,0.2,47,60,0.020369350190957442,0.9118131868131868,0.9203296703296704,60,0
