method,mechanism,rate,seed,nrmse,pfc,variant_filename,n_missing_cells_scored,n_continuous_cells_scored,n_categorical_cells_scored
MICE,MNAR,0.1,47,1.4484186452882104,0.819047619047619,MNAR_rate10_seed47.csv,330,120,210
MICE,MNAR,0.1,48,1.357167123725373,0.8238095238095238,MNAR_rate10_seed48.csv,330,120,210
MICE,MNAR,0.1,49,1.5740128378754976,0.8095238095238095,MNAR_rate10_seed49.csv,330,120,210
MICE,MNAR,0.2,42,1.5527966527271084,0.8135593220338984,MNAR_rate20_seed42.csv,649,236,413
MICE,MNAR,0.2,43,1.6220978156919754,0.864406779661017,MNAR_rate20_seed43.csv,649,236,413
MICE,MNAR,0.2,44,1.4768843122559954,0.8353510895883777,MNAR_rate20_seed44.csv,649,236,413
MICE,MNAR,0.2,45,1.5177793066374845,0.8208232445520581,MNAR_rate20_seed45.csv,649,236,413
MICE,MNAR,0.2,46,1.5129100303290344,0.837772397094431,MNAR_rate20_seed46.csv,649,236,413
MICE,MNAR,0.2,47,1.523513330749118,0.8426150121065376,MNAR_rate20_seed47.csv,649,236,413
MICE,MNAR,0.2,48,1.5537076450470781,0.8256658595641646,MNAR_rate20_seed48.csv,649,236,413
MICE,MNAR,0.2,49,1.518636187899907,0.8111380145278451,MNAR_rate20_seed49.csv,649,236,413
MICE,MNAR,0.3,42,1.5074260248357836,0.8138041733547352,MNAR_rate30_seed42.csv,979,356,623
MICE,MNAR,0.3,43,1.5316533733656805,0.8507223113964687,MNAR_rate30_seed43.csv,979,356,623
MICE,MNAR,0.3,44,1.5142103691292899,0.8138041733547352,MNAR_rate30_seed44.csv,979,356,623
MICE,MNAR,0.3,45,1.5585068444041912,0.8218298555377207,MNAR_rate30_seed45.csv,979,356,623
MICE,MNAR,0.3,46,1.5631845236174229,0.8250401284109149,MNAR_rate30_seed46.csv,979,356,623
MICE,MNAR,0.3,47,1.572835226875955,0.8298555377207063,MNAR_rate30_seed47.csv,979,356,623
MICE,MNAR,0.3,48,1.5392812459598983,0.8330658105939005,MNAR_rate30_seed48.csv,979,356,623
MICE,MNAR,0.3,49,1.5146546289088598,0.8346709470304976,MNAR_rate30_seed49.csv,979,356,623
Mean/Mode,MAR,0.1,42,1.1335032288824873,0.48095238095238096,MAR_rate10_seed42.csv,330,120,210
Mean/Mode,MAR,0.1,43,0.9973751936383655,0.4714285714285714,MAR_rate10_seed43.csv,330,120,210
Mean/Mode,MAR,0.1,44,1.0134467096703021,0.4666666666666667,MAR_rate10_seed44.csv,330,120,210
Mean/Mode,MAR,0.1,45,1.0507855755234066,0.4523809523809524,MAR_rate10_seed45.csv,330,120,210
Mean/Mode,MAR,0.1,46,1.0373394336194792,0.42857142857142855,MAR_rate10_seed46.csv,330,120,210
Mean/Mode,MAR,0.1,47,1.1165172252821898,0.4714285714285714,MAR_rate10_seed47.csv,330,120,210
Mean/Mode,MAR,0.1,48,1.0584514058736227,0.44285714285714284,MAR_rate10_seed48.csv,330,120,210
Mean/Mode,MAR,0.1,49,1.066481857654477,0.4666666666666667,MAR_rate10_seed49.csv,330,120,210
Mean/Mode,MAR,0.2,42,1.1420892178930562,0.44552058111380144,MAR_rate20_seed42.csv,649,236,413
Mean/Mode,MAR,0.2,43,1.092911146352026,0.47699757869249393,MAR_rate20_seed43.csv,649,236,413
Mean/Mode,MAR,0.2,44,1.0704487185719325,0.4552058111380145,MAR_rate20_seed44.csv,649,236,413
